Copyright © 2007 Nokia. All rights reserved.
This document is confidential information of Nokia.
Nokia operates a policy of continuous development.
The information which this document contains reflects our understanding at the time when presented.
Nokia reserves the right to revise this document or withdraw it at any time
without prior notice and states no obligation to update the data included in this document.
The contents of this document are provided "AS IS". 
Name,Description,RequirementID,Runtime variation name,Runtime variation ID
FF_XML_IDLE_THEME_CLASSIC_IDLE,"Controls if Classic idle theme is going to image or not.",,,
FF_XML_IDLE_THEME_FINGERUSE_IDLE,"Controls if Finger use idle theme goes to image or not.",,,
FF_XML_IDLE_THEME_NAVIBAR_IDLE,"Controls if Navibar idle theme is going to image or not.",,,
FF__ROM_HIDE_ISRAEL,"This flag controls whether Israel as a state defined in MENA and Arabic varients. ","TSW Error Id AAHG-7PLJCC",,
HLP_ADDITIONAL_CALENDAR,"USED ONLY FOR HELP CONTENT VARIATION",,KFeatureIdHlpAdditionalCalendar,11005
HLP_CAMERA_KEY,"USED ONLY FOR HELP CONTENT VARIATION",,KFeatureIdHlpCameraKey,11007
HLP_CLEAR_KEY,"USED ONLY FOR HELP CONTENT VARIATION",,KFeatureIdHlpClearKey,11000
HLP_INTERNET_SUITE_VERY_LITE,"This flag is used only for help variation. 
Flag needs to be turned on when the Internet Suite Very Lite is present.",,KFeatureIdHlpInternetSuiteVeryLite,181
HLP_ITUT_INPUT,"USED ONLY FOR HELP CONTENT VARIATION",,KFeatureIdHlpItutInput,11002
HLP_MSK,"USED ONLY FOR HELP CONTENT VARIATION",,KFeatureIdHlpMsk,11003
HLP_OMA_DRM_METERING,"USED ONLY FOR HELP CONTENT VARIATION",,KFeatureIdHlpOmaDrmMetering,11008
HLP_PREMINET_CATALOGS_CLIENT,"USED ONLY FOR HELP CONTENT VARIATION",,KFeatureIdHlpPreminetCatalogsClient,11001
HLP_RECENTLY_PLAYED_FOLDER,"USED ONLY FOR HELP CONTENT VARIATION",,KFeatureIdHlpRecentlyPlayedFolder,11006
HLP_SENSOR_SETTINGS,"When this flag is used, help content for Sensor settings is visible. Originally it is needed for backporting the Sensor framework functionality from 5.0 to 3.2.",n/a,KFeatureIdHlpSensorSettings,139
HLP_WAYPOINTS,"USED ONLY FOR HELP CONTENT VARIATION",,KFeatureIdHlpWaypoints,11004
JSR_135_SUPPORT,"""Java implementation supports advanced features of Java Mobile Media API (JSR135) version 1.1, implemented in release 2.6 onwards. This flag must always be enabled when __JAVA_MMAPI11 is enabled.""","JSR-135 compliancy",KFeatureIdJsr135Support,1130
RD_32_BROWSER,"RD Feature flag for implementing new Browser 3.2 features prior to branching 3.1","100-5981 Browser: UI & Usability Enhancements",,
RD_32_BROWSER_ALR,"RD Feature flag for implementing ALR support in Browser.",409-424,,
RD_3GP_WRITE_EXTENTION,"This flag enables 3GP Write Extention feature in Record Utility.",,,
RD_50_BROWSER,"RD Feature flag for implementing new Browser 5.0 features.","102-5733: Import/Export feeds using OPML file",KFeatureIdRd50Browser,23
RD_ACCESSORY_FW,"This R&D flag defines changes related to accessory framework.",,,
RD_ACTIVESYNC_UI_INTEGRATION,"RD flag for development of ActiveSync","107-13869: Exchange ActiveSync v2.5",,
RD_AIW_DIAL_DATA_API,"RD flag for development of new AIW Dial Data APIs.",,,
RD_ALF_IN_PLATFORM,"Flag enables ui accelerator toolkit development.","101-31274: Hitchcock UI toolkit for S60 platform",,
RD_ALR_AND_NLR_ENABLERS,"Enables Application and Network Level Roaming.","101-23581: Networking UI Components For Application Level Roaming",,
RD_ALR_VPN_AP_UI_DISABLED,"Disables VPN Accesspoint UI",,,
RD_ANIMATION_EFFECTS,"""R&D Flag to control inclusion of the feature """"animation effects"""".""","""101-15108: Animations and feedback effects, phase 2""",,
RD_APPS_TO_EXES,"This R&D flag is needed for incorporating apps to exes changes controlled way into Series 60 releases.","""107-141: Migrate Application Architecture to Platform Security, 101-7493: Migrate the platform software to new Application Architecture""",,
RD_ARM_MDF_HELIX_ENGINE,"This Helix engine flag is needed to variate S60 Video engine solution between all ARM MicroPlayer (ROP) and Helix engines.","102-2985 All-ARM Helix",,
RD_ASYNCH_FILE_SAVE_QUEUE,"Camcorder requires support from the Asynchronous File Save Queue.","101-37288: Camcorder UI: Asynchronous image saving queue for UI",,
RD_AUDIOCONTROLLER_STREAMINGSOURCE_SUPPORT,"R&D flag that enables the Streaming Source supports for  Audio Controllers.","107-8055 Progressive download from stand alone browser",,
RD_AUTO_KEYGUARD,"This flag is used to determine whether the automatic keyguard features in Autolock are compiled.","101-10790: Automatic Keypad lock",,
RD_BLUETOOTHIRRECEIVINGINDICATOR,"""Requirement: """"Bluetooth/IrDA receiving indicator""""""","107-22141 Bluetooth/IrDA receiving indicator",,
RD_BOOT_CUSTOMIZABLE_AI,"R&D Flag to enable smooth integration of customizable to device bootup. The flag is used variate out current Idle + Active Idle solution and replace it new customizable AI.","101-11066: Active Idle UI customization using XML UI Framework",,
RD_BROWSER_LAUNCHER_API_CHANGE,"R&D flag for implementing browser launcher API change.",,,
RD_BROWSER_PROGRESSIVE_DOWNLOAD,"RD flag to enable/disable the progressive download functionality for certain types of browser-downloadable content.","107-8055: Progressive download (DRM + plain) from standalone browser",,
RD_BROWSER_SCROLLBARS,"This flag will be in place until the implementation of Browser using the platform scrollbars is mature enough.","TSW Error YAHN-6UQBBJ",,
RD_BROWSER_USE_AUDIOVIDEOPLUGIN,"""RD flag for development of new, combined AudioVideoPlugin""","102-4498: Browser: Video Plugin enhancements",,
RD_BROWSER_VIDEO_PLUGIN,"Support for Browser Plugin. Used in deciding whether the browser video plugin is taken in.","102-3271: Browser: Video Plugin",,
RD_BROWSER_VIDEO_PROGRESSIVE_DOWNLOAD,"RD flag to enable/disable the progressive download functionality for browser-downloadable video content.","107-8055: Progressive download (DRM + plain) from standalone browser",,
RD_BROWSER_WIDGETS,"RD flag for development of new Widgets implementation","102-4625: Browser: Web Widgets Engine",,
RD_BTUI_RENOVATION,"Bluetooth user interface renovation.","""107-10678, 107-14424, 106-622, 107-14364""",,
RD_BT_AUDIO_RENOVATION,"Bluetooth audio renovation.","""101-18364, 107-10655""",,
RD_BT_MSG_RENOVATION,"This flag enables early development of Bluetooth OPP/BIP features (3.1u).","""107-14446: Support BT BIP as default profile for image sending, 107-14438: BT OPP/BIP: Storage Capacity Checking""",,
RD_CALENDAR_PLUGIN_FW,"This flag enables new UI concept and plugin framework for regional calendar enhancements. The flag disables old Chinese Lunar Calendar implementation (without plugin framework) and enables new Lunar Calendar plugin (using framework).","""107-13281: Thai year support in calendar107-20751: Vietnamese Lunar Calendar""",,
RD_CAMCORDER_ADVSETTINGS,"This flag indicates if the ecamadvsettings.dll is included to the rom image","101-23044: Camcorder UI: Autofocus functionality",,
RD_CATALOGS_CLIENT,"RD flag for development of Catalogs client v3","106-853: Catalogs Client v3",,
RD_CLIENT_CERTIFICATES,"RD flag for development of Client certificates and private key handling feature.","101-11568: SECURITY:Client certificates and private key handling",,
RD_COMBINE_INSTALLATION_QUERIES,"""The flag enables feature """"SW Installer: combining installation confirmation and details queries during installation""""""","ABRK-6XJAB8: SW Installer: combining installation confirmation and details queries during installation",,
RD_COMMON_ENGINE_API_CHANGE,"This R&D flag is needed to safely integrate changes to the Common Engine APIs into Series 60 releases.",,,
RD_CONTENTMANAGERLAUNCHER,"Flag for variating the new Content Manager Launcher component and related Content Manager Launcher API","101-37734: Clean replacement of Gallery Phase II",,
RD_CONTENTNOTIFICATION,"""Flag for variating the new Content Notification component and related APIs: Content Notification API, Content Notification Implementation API""","101-37734: Clean replacement of Gallery Phase II",,
RD_CONTEXT_FRAMEWORK,"""RD flag to enable feature """"Context framework"""" development""","107-25591: Context Framework and S60 SDK API",,
RD_CONTEXT_SENSITIVE_MENU,"RD flag to flag out the implementation of context sensitive menu.",,,
RD_CONTROL_PANEL,"Flag enables Control Panel development.","101-34829: Control Panel",,
RD_CONVERGED_CALL_ENGINE,"""RD flag to enable feature """"Converged call engine"""" development.""","107-25806: EarlyDelivery: S60 IETF/SIP VoIP",,
RD_CONVERGED_CALL_ENGINE_PROXY,"Used for CCE xSP proxy developmen","107-25730: S60 Telephony Converged Call Engine (CCE)",,
RD_CSXHELP_EVOLUTION,"Feature enables early development of csxhelp application functionalities.","107-12722 Accessory Monitoring API 101-36054: XHTML Help feature pack II",,
"RD_CS_PS_HO ","RD flag to enable VOIP handover development","107-25806: EarlyDelivery: S60 IETF/SIP VoIP",,
RD_CUSTOMIZABLE_AI,"R&D Flag to enable smooth development & integration of customazable Active Idle.","101-11066: Active Idle UI customization using XML UI Framework",,
RD_DEFAULT_APPLICATION_SETTINGS,"Disables the Default Application Settings subsystem.","107-6459: Default application setting for a MIME-type",,
RD_DEVICE_MODE_CONFIGURABILITY,"""This flag controls configurability features to System Application (referred as """"SysAp"""") and HwResourceManager (referred as HWRM) components.SysAp needs this flag for moving part of its key event handling functionality to a plug-in that can be variated by product programs.HWRM needs this flag for moving part of its light controlling functionality to a plug-in that can be variated by product programs.""","""101-19650: Backlight control: Device mode event configurability107-18055: Aalto: Keypads backlighting""",RdDeviceModeConfigurabilityId,
RD_DISPLAY_POST,"This flag allows to choose from either built-in Display Post implementation or an external Display Post module.","101-13298: TV-Out support in RealPlayer",,
RD_DM_MULTI_CHOICE_ALERT,"""RD flag to enable feature """"OMA DM server can query user to select options.This alert type allows the user to select multiple items from a list of options."""" development.""","101-29885: OMA DM: multiple choice alert",,
RD_DM_ROAMING_BLOCKING_SUPPORT,"Feature enables the blocking the SyncML Device Management session (Either for Device settings like MMS settings or for FOTA downloads) when user in roaming networks. This RnD flag will be used temporarily for increment 15 development time only to flag changes made on component SyncMLNotifier. ","106-798: Device Manager: Roaming Blocking support",,
RD_DM_SINGLE_CHOICE_ALERT,"""RD flag to enable feature """"OMA Device management Server can query user to select an option by sending a number of user selectable options"""" development.""","101-29884: OMA DM: single choice alert",,
RD_DM_TEXT_INPUT_ALERT,"""RD flag to enable feature """"OMA Device management Server can query user input"""" development.""","101-29886: OMA DM: text input alert",,
RD_DOS_API_CHANGE,"This flag is needed for safely (without creating bottle neck) incorporating DOS Client/Plug-in/SAE API changes into Series 60 releases.",,,
RD_DOS_SERVER_REMOVE,"R&D flag for managing the DOS Server and DOS APIs removal.",,,
RD_DRM_BUY_NEW_RIGHTS_BEFORE_EXPIRATION,"A flag to control one of the sub-features in OMA DRM v2 implementation.","""101-14569: OMA DRM v2, operator prioritized features""",,
RD_DRM_COMMON_INTERFACE_FOR_OMA_AND_WMDRM,"Feature enables early development of   the requirement '107-18152 Common interface for OMA and WM DRM'.","107-18152 Common interface for OMA and WM DRM",,
RD_DRM_DETAILS_VIEW_RENOVATION,"A flag to control one of the sub-features in OMA DRM v2 implementation.","""101-14569: OMA DRM v2, operator prioritized features""",,
RD_DRM_DROPPED_30_FEATURES,"A flag to control one of the sub-features in OMA DRM v2 implementation.","""101-14569: OMA DRM v2, operator prioritized features""",,
RD_DRM_IMSI_BINDING,"A flag to control one of the sub-features in OMA DRM v2 implementation.","""101-14569: OMA DRM v2, operator prioritized features""",,
RD_DRM_METERING,"Flag enables development of DRM Metering","101-37711 DRM Metering",,
RD_DRM_NEW_SECURE_CLOCK,"R&D feature flag is needed to develop the requirement '101-32062 New Secure clock for DRM'","101-32062: New Secure clock for DRM",,
RD_DRM_PREVIEW_RIGHT_FOR_AUDIO,"""Flag enables development of feature """"Preview right support for OMA DRM v2 protected content for audio""""""","101-20306 Preview right support for OMA DRM v2 protected content for audio",,
RD_DRM_REMOVAL_OF_EXPIRATION_WARNING_PROMPTS,"Flag is needed to develop the requirement '101-29260 Removal of DRM usage rights expiration warning prompts' without risking the maturity of CCB.","101-29260 Removal of DRM usage rights expiration warning prompts",,
RD_DRM_RIGHTS_MANAGER_REMOVAL,"R&D feature flag is needed to develop the requirement '101-41508 Rights Manager Removal'","101-41508 : Rights Manager Removal",,
RD_DRM_RINGTONE_BLOCKING,"A flag to control one of the sub-features in OMA DRM v2 implementation.","""101-14569: OMA DRM v2, operator prioritized features""",,
RD_DRM_SILENT_RIGHTS_ACQUISITION,"In order to enable safe development of  OMA DRM v2 Silent rights object acquisition","107-18139: OMA DRM v2 Silent rights object acquisitio",,
RD_DSUI_TIMEDSYNC,"To provide timed synchronization feature to be included in the Data synchronization UI .  The flag will be used only in the OmaDsAppUi component.","101-12632: OMA DS: Timed synchronization",,
RD_DS_ICAL_SUPPORT,"Support for iCalendar synchronization","107-17525 Support for iCalendar synchronization",,
RD_DS_UI_EVOLUTION,"RD flag for development of new Data Sync UI","107-13132 DS UI evolution",,
RD_EMAIL_DOMAIN_UTILS,"The flag is for controlling the releasing of the Email utility API changes that are planned to be done for 3.2",,,
RD_EMAIL_HTML_VIEW,"R&D Flag to remove HTML plugin from mail 3.0 implementation.","101-1476: HTML support to E-Mail Viewer",,
RD_ENABLE_ADDING_EDITING_OF_MSISDN,"This flag enables the usage of the new implementation of Own name store in CommonTSY.",,,
RD_ENHANCED_CBA,"RD flag to flag out implementation of Enhanced CBA",,,
RD_ENHANCED_SKINNING,"""RD Feature flag for implementing """"enhanced skinning"""" in 2.x CCB. That feature is not wanted in 2.6 but after 2.8 it will be permanently supported i.e. not optional feature.""","REQ 107-138",,
RD_EXTENDED_ICL_JPEG_API,"RD flag to enable/disable the Extended ICL JPEG API.","107-20117: Image viewer to utilize Extended ICL JPEG API",,
RD_FEATURE_MANAGER_CHANGE,"In 3.1 Feature Manager will be removed from CommonEngine and new Feature Manager component will be introduced. Flag is needed to safely implement the change. ",,,
RD_FILE_HANDLE_SUPPORT,"This R&D flag defines data caging changes to components that are used by messaging API components.","101-7654: Protecting private data (Data caging - part 2)",,
RD_FILE_MANAGER_BACKUP,"RD feature flag for implementing additional backup improvements for File Manager.","101-11144: Merging File Manager and memory card applications",,
RD_FILE_SORTING,"The flag will be used to variate the sorting functionality in File manager in R3.2.","UI CR 403-6178",,
RD_FLASHLITE_SCREENSAVER,"This flag allowes early development of new Flash as Screensaver features.",,,
RD_FLASH_AS_VIDEO_RINGING_TONE,"Device allows a video file to be set as a ringing tone.",,,
RD_FM_RADIO_ENHANCEMENTS,"RD flag to enable FM Radio Control Adaptation API development.  ",""" 101-22788 Allow FM Radio to use Offline Mode 102-3991 RDS Support and Cover UI & LCIF API for S60 FM Radio Engine""",,
RD_FM_TX_SUPPORT,"RD_FM_TX_SUPPORT flag is needed to integrate FM TX changes to S60 HW Resource Manager and SysApp","403-1166: FMTX2.0 SysApp & HWRM support",,
RD_FOTA_FLEXIBLE_MEMORY_USAGE,"Feature enables flexible memory usage for storing update files on c-drive. RnD flag will be used temporarily for increment 15 development time only to flag changes made on component fotaserver and SyncMLNotifier.","107-22712: FOTA: Flexible memory usage for downloaded package",,
RD_FSW_V2,"RD feature flag for new fastswap tasklist development.","101-16631: Usability improvement for multitasking",,
RD_FULLSCREEN_WALLPAPER,"RD feature flag for enabling full screen wallpaper development.","107-19391: Full screen wallpaper",,
RD_GALLERY_ENABLE_NG_MUSIC_PLAYER,"This feature flag will be used to variate Gallery usage between the old and the new Music Player.",409-1054,,
RD_GALLERY_GRID,"Enable/disable Grid view in Gallery","102-2988: Video: Media Player: UI enhancements",,
RD_GALLERY_PREVIEW_POPUP,"Enable disable Preview Popup in Gallery","102-2988: Video: Media Player: UI enhancements",,
RD_GBA,"Support for General Bootstarapping Architecture (GBA).  GBA enables authentication for mobile services without any user interaction.","101-33172: Support for GBA",,
RD_GENERAL_SEARCH,"""RD flag to enable feature """"In-Device Search"""" development.""","102-2878 In-Device Search",,
RD_GS_RENOVATION,"General Settings Application Renovation",,,
RD_GS_RENOVATION_PHASE2,"This flag allowes early development of new General Settings features.",,,
RD_HELPRUNTIME,"Flag to variate help content between 3.2.1 and 3.2.2 ",,,
RD_HELP_AIW_INTEGRATION,"This flag enables early development of  AIW Help consumer integration feature.","101-13178 Enabling integration of Licensee tutorial functionality",,
RD_HIERARCHICAL_COLUMN_LIST,"R&D flag for enabling Hierarchical column list UI component.","101-32487: Hierarchical dual column list",,
RD_HIERARCHICAL_LIST,"""RD flag to enable feature """"New list type: Hierarchical list"""" development.""","101-16781: New list type: Hierarchical list",,
RD_HINDI_PHONETIC_INPUT,"""RD flag to enable feature """"Hindi phonetic input"""" development.""","101-24489: Hindi phonetic input",,
RD_HOTSPOT,"Undefining this flag indicates that the HotSpotServer.exe and other related components are not included to the rom image. ","107-15734: Integration of 3rd Party WLAN clients to the Native UI and Seamless Roaming",,
RD_IDLE_SEPARATION,"R&D feature flag for moving idle functionality from Phone application to Idle application.","107-4666: Active Idle: separating phone application from Idle",,
RD_IHL_EXTJPEGAPI,"Image Handling Library utilized Extended ICL JPEG API","107-20117: Image viewer to utilize Extended ICL JPEG API",,
RD_IMAGEPREVIEW,"ImageViewer's ImagePreview API and DLL are available in release.","UI CR JLEO-6HDBPW",,
RD_IMAGINGCONFIGMANAGER,"Flag to include/exclude Imaging Configuration Manager component.","107-22657: Imaging Configuration Manager",,
RD_IM_UI_FACELIFT,"RD flag for development of IM UI facelift","107-13871: IM UI Facelift",,
RD_INTELLIGENT_TEXT_INPUT,"Flag to develop support for Intelligent Text Iinput ","""403-492: Generic QWERTY framework 403-2129: 2nd generation text input engine integration404-1533: Help key support404-1532: Enter key support""",,
RD_IV_ACCELEROMETER,"Image viewer needs RnD flag in order to variate accelerometer sensor usage.
",401-5509,,
RD_IV_SLIDESHOW,"Image Viewer with slideshow and cool image transition effects","101-13871: WOW: Gallery/Image Viewer Evolution",,
RD_IV_TRANSPARENT_UI,"Image Viewer uses transparent custom UI controls","101-13871: WOW: Gallery/Image Viewer Evolution",,
RD_IV_TRANSPARENT_UI_2,"Image Viewer uses transparent toolbar and image infos popup.","101-13871: WOW: Gallery/Image Viewer Evolution",,
RD_IV_TV_OUT,"Flag to develop the TV-Out support for images","402-1111 TV-Out support for images",,
RD_JAVA_ARCHITECTURE_RENEWAL_PHASE1,"""Java architecture renewal, phase 1. S60 implementation replaces Symbian implementation of Java Installer, Java Registry and Java Backup components.""","101-23575: Architecture renewal Phase 1",,
RD_JAVA_CONFIGURABLE_NW_INDICATOR,"Support for network indicator in Java Canvas for operator domain midlets.","101-23233: Presentation of network indicator in full screen mode Canvas",,
RD_JAVA_MEDIA_KEYS,"""To enable Java applications (also those in background) to get notifications from various media keys (PLAY, PREV, NEXT, STOP...). ""","101-32356: Media keys support in Java",,
RD_JAVA_OMA_DRM_V2,"Java Mobile Media API supports playback of the OMA DRM v2 protected audio content.","107-18517: OMA DRM v2 audio playback support via JVM",,
RD_JAVA_REUSE_IFRAMEBUFFER,"Purpose: Change LCDUI Canvas implementation to reuse the native side iFramebuffer memory between Canvas instances. ","107-24306: Java:LCDUI - Canvas instances must share iFramebuffer to save memory",,
RD_JAVA_SCALABLE_ICON,"Provide support for scalable icons for MIDlet icons (MIDlet icons & MIDlet suite icons). ","101-26480: Scalable icons for MIDlet",,
RD_JAVA_TMIDISTATECHANGE,"""R&D flag for Java, related to the symbian change: BR2058: Renaming enum values in TMidiState as a result of a namespace clash.""","Symbian BR2058: Renaming enum values in TMidiState as a result of a namespace clash.",,
RD_JAVA_VOLUME_KEYS,"Java application volume level can be controlled with phone's side volume keys.","107-20105: Java MMAPI volume control support",,
RD_KANNADA_FONTS,"Indic Kannada fonts and font support","101-24927: Rendering support for Kannada",,
RD_KEYLOCK_POLICY_SUPPORT,"Development time support for Configurable Keylock policy.","107-25727: Configurable keylock policy",,
RD_LIGHT_CONTROL_CHANGE,"RD-flag for early development of light control customizability features to System Application.","""101-23335: Backlight Current Consumption Minimization work for Rapido family products 101-32080: SysApp light control""",,
RD_LIST_STRETCH,"R&D Flag to control inclusion of ScaleII feature: Stretch two-lined list automatically as one-lined.","101-13178 Enabling integration of Licensee tutorial functionality",RdListStretchId,
RD_MAPNAV_BITMAP_ACCESS,"Feature enables early development of new features in Map and Navigation FW.","106-1225: Bitmap map access to M&N Framework for map content in SPP51.32",,
RD_MARATHI,"Marathi UI language and input","101-24966: Marathi UI language and input",,
RD_MDF_DEVVIDEO,"""This flag selects the variants of the video components to use MDF DevVideo or proprietary codec interfaces. Symbian's MDF DevVideo API is going to be used in Series 60 3.0 and Series 90 2.0 by at least Camcorder MMF plugin and Video Telephony (REQ 101-6231 ). At the same time, non-MDF versions of the components are being released to Series 60 2.6, 2.7, and 2.8. """,,,
RD_MDS_2_0,"The flag indicates that the environment contains 2.0 version of MDS APIs. See also flag RD_MDS_2_5.",101-30832,,
RD_MDS_2_5,"The flag indicates that the environment contains 2.5 version of MDS APIs. See also flag RD_MDS_2_0",101-30832,,
RD_MEDIAPLAYER_UI_ENHANCEMENTS_P2,"New Media Player enhancements.","102-5929 - Media Player: UI Enhancements part 2",,
RD_MEDIA_GALLERY_UPDATED_FEATURES,"Media Gallery updated features for 3.1",,,
RD_MEETING_REQUEST_UTILS,"Meeting request feature adds meeting request utlis non-variable component to platfrom.",,,
RD_MESSAGING_API_V2,"This R&D flag defines data caging changes to components that use messaging API.","101-7654: Protecting private data (Data caging - part 2)",,
RD_MESSAGING_GENERAL_SETTINGS_RENOVATION,"""RD flag to enable feature """"General  settings application renovation"""" development""","101-21979 General  settings application renovation",,
RD_MESSAGING_ICAL_IMPORT,"""RD flag to enable feature """"iCalendar Import"""" development""","101-33269 iCalendar Import",,
RD_MESSAGING_VIRTUAL_PHONEBOOK,"This flag controls the messaging virtual phonebook migration independently from RD_VIRTUAL_PHONEBOOK","101-17778: Messaging interface to SIM contacts",,
RD_METADATAUTILITY_M4A_INTERNATIONAL,"Metadata localization support for M4A format","409-305: Metadata localization support for M4A format",,
RD_METADATAUTILITY_ODF_ALBUMART_50,"Support for album art from ODF header of OMA DRM v2 protected content","102-6064: Support for album art from ODF header of OMA DRM v2 protected content",,
RD_METADATAUTILITY_PODCAST_50,"Metadata Utility to support podcast related additions in ID3v2","101-31081: Metadata Utility to support podcast related additions in ID3v2",,
RD_METADATAUTILITY_WM_PROVIDER_31,"Support WM/Provider in Metadata Utility ","403-1158: Support WM/Provider in Metadata Utility to enable Nokia music service",,
RD_METADATA_UTILITY_32,"RD flag for development of metadata performance improvements","102-4814: Metadata performance improvements",,
RD_MFE_CP_INTEGRATION,"""Flag enables the Mail For Exchange (MFE, Active Sync)  UI integration with control panel feature.""","101-36908: ActiveSync Integration into General Settings/Control Panel",,
RD_MSG_FAST_PREV_NEXT,"""RD flag to enable feature """"Faster opening of next or previous short message"""" development.""","101-31444: Faster opening of next or previous short message",,
RD_MSG_LIST_IMPROVEMENT,"Improved message lists ","101-31491: Improved message lists",,
RD_MSG_LOAD_ANIMATION,"""The flag enables feature """"PERFORMANCE II: opening MMS with video attached""""""","107-16129: PERFORMANCE II: opening MMS with video attached",,
RD_MSG_NAVIPANE_IMPROVEMENT,"Navi pane improvements in Messaging applications","101-35908: Navi pane improvements in Messaging applications",,
RD_MSG_XHTML_SUPPORT,"""The flag enables feature """"OMA MMS 1.3 phase 2""""""","101-34869: OMA MMS 1.3 phase 2",,
RD_MTP_SUPPORT_VIDEO_SYNC,"Nokia MTP protocol implementation must support video file transfer over the link from PC to terminal","102-6116: MTP: Synchronization of Videos",,
RD_MUIU_SPLIT,"RD Feature flag for splitting Messaging UI Utilities API into domain and internal parts.","107-20968: Partial include hierarchy change implementation for Messaging",,
RD_MULTIMEDIA_RINGING_TONES_FOR_COVER_UI,"RD flag for development of multimedia ringing tones in Cover UI","101-18505 Support for multimedia ringing tones in Cover UI",,
RD_MULTIPLE_DRIVE,"Mutliple drive support in platform environment","107-25259: Enablers for multiple drive support in S60",,
RD_MULTIPLE_DRIVE_ENABLERS,"Part of multiple drive support in platform environment","107-25259: Enablers for multiple drive support in S60",,
RD_MULTI_ALARMS,"""This R&D flag is needed for incorporating """"Multiple Alarms""""  in ClockApp.""","101-7743 Multiple alarms for clock",,
RD_MUSIC_COLLECTION_AUTO_REFRESH,""" When enabled, Music Collection server monitors USB and memory card events and performs a database refresh when new card is inserted or USB cable is disconnected. It will also perform the refresh after startup. The refresh is handled as a low priority task in the background. ""","Error ID:  ALEN-6G9EBW",,
RD_NEW_FAVENG_API,"R&D feature flag for implementing new Client/Server FavouritesEngine API.","""191-125: Browser Utilities: Favourites Engine: Protecting Private Data, 191-208: Browser Utilities: Favourites Engine: SDK API Cleanup""",,
RD_NG_MUSIC_PLAYER,"This flag will be used to variate between the old and the new Music Player until the new Music Player reaches maturity level and is ready to completely replace the old Music Player.","102-5575: Modular architecture for Music Player",,
RD_NO_DIALOG_BORDERS,"This R&D flag is needed to safely integrate changes needed to remove hard-coded dialog borders in S60 UI framework.",,,
RD_OMADMAPPUI_UI_EVOLUTION,"""Feature enables the Device Manager UI evolution feature. This RnD flag will be used temporarily for increment 15 development time only to flag changes made on components OmaDmAppUi, SyncMLNotifier and fotaserver.""","106-791: Device Manager UI Evolution",,
RD_OMASYNCML_DM_1_2,"Feature enables the Device Manager 1.2 version feature.","101-32827 :MEGA-OP GAP: OMA DM 1.2 support",,
RD_OMA_EMN,"The flag controls whether the OMA Email Notification function is supported by the email application. The flag is needed for the variation between 3.0 and 3.0M.",,,
RD_OPENVG_SVGTOPT,"This feature flag will allow to exclude OpenVG dependency from SVGTopt. SVGTopt currently utilizes VGRasterizer. OpenVG is the new rasterizer. ",,,
RD_PBK_MAP_EXT,"""The flag enables feature """"Map framework support for contacts application""""""","107-11392: Map framework support for contacts application",,
RD_PBK_PROPERTIES_TAB,"Feature enables early development of   the requirement '101-21162: Properties tab' in Phonebook.","101-21162: Properties tab",,
RD_PD_FOR_AUDIO_CONTENT_VIA_HELIX_ENGINE,"Defines whether Progressive Download for WMA and RA audio contents is supported via Helix engine with Music Shop.","102-6041: Middleware support for progressive download and Java buffer playback API for Windows Media Audio Content",,
RD_PF_SEC_APPARC,"""This R&D flag is needed for incorporating platform security and application architecture changes controlled way into Series 60 releases.The flag is required for Av.3.0 requirement:   107-141: Migrate Application Architecture to Platform Security and101-7493: Migrate the platform software to new Application Architecture that will be done in I9 timeframe. Flag will be removed after 2.8 branches away from 2.common.""",,,
RD_PHONEBOOK2,"Phonebook application supports multiple contact stores. It enables users to manage contacts from multiple repositories in one application.","107-8188: Phone and SIM contacts combined to same view.",,
RD_PHONE_CLIENT_EXT,"The flag is for controlling the changes in the Phone Client Dial API that will break the Phone Client Extension Consumer API","107-20970: Partial include hierarchy change implementation for RTC",,
RD_PHONE_NG,"RD feature flag for development of new Phone architecture.","107-11274: Phone Next Generation for S60",,
RD_PINB_SRV_CHANGE,"R&D Flag to handle migration from old insecure Pinboard API to new one.","""101-7493: Migrate the platform software to new Application Architecture101-7654: Protecting private data (Data caging - part 2)""",,
RD_POCUIAPI,"This R&D flag is needed for variating PoC (Push-to-talk over Cellular) and it's UI integration to other applications / functionality.","107-2171: Enabling platform integation of PoC applications for licencees",,
RD_PREVIEW_POPUP,"""This flag enables ScaleII component """"Preview Popup"""".""",,RdPreviewPopupId,
RD_PROGDOWNLOAD,"R&D flag for managing the Progressive Download feature implementation.","107-2224: Music Player support for HTTP progressive download",,
RD_PTIENGINE2,"Feature enables early development of new version of PtiEngine component.","101-18470: PERFORMANCE II: Performance & resource optimization of Input methods and Fonts",,
RD_RAM_TEST_UID,"""Turning the the flag on enables special UID that can be used by a RAM testing tool. A tool using the UID is not closed by out-of-memory watchdog. Flag should not be turned on in any end product as it exposes a potential security risk. Instead the flag could be used at R&D time, or in any custom builds.""",,,
RD_RA_SUPPORT_FOR_MUSIC_PLAYER,"RD flag for development of Read Audio support in Music Player.","102-4619: Support for Real Audio in Music Player",,
RD_READ_MESSAGE_DELETION,"""RD flag to enable feature """"Allow deleting only read messages"""" development""","101-31264 Allow deleting only read messages",,
RD_REMOTELOCK,"RD flag for development of RemoteLock feature.","107-3825: SECURITY: Remote Locking of the device",,
